"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"THEHIVE_EXAMPLE","","","","","","","","","","","","","",""
"STR_THEHIVE_QUEST_ITEM_4","Biglietto piegato","Folded note","Složený lístek","Gefalteter Zettel","Сложенная записка","Złożona kartka","Összehajtott jegyzet","Biglietto piegato","Nota doblada","Note pliée","摺叠的纸条","折りたたまれたメモ","Bilhete dobrado","折叠的纸条"
"STR_THEHIVE_QUEST_ITEM_4_DESCRIPTION","Ania,

se leggi questo… vuol dire che non siamo riusciti a trovarti.
Siamo arrivati dalla nonna a Brena, vicino al lunapark. 
Ti abbiamo aspettata. Ti abbiamo cercata per giorni...

Se puoi camminare, vai dalla nonna. Brena, vicino al lunapark.
Resta sulla strada. Non fidarti di nessuno.
Se senti spari o urla, nasconditi e aspetta che finisca. 

Se non ci trovi… resta con la nonna. Parti con lei quando può.
La tua roba è già pronta.

Noi ti amiamo. Sempre.
— Mamma e Papà","Ania,

if you are reading this… it means we were not able to find you.
We arrived at grandma’s house in Brena, near the lunapark. 
We waited for you. We searched for you for days...

If you can walk, go to grandma. Brena, near the lunapark.
Stay on the road. Do not trust anyone.
If you hear gunshots or screams, hide and wait until it is over. 

If you cannot find us… stay with grandma. Leave with her when she can.
Your things are already ready.

We love you. Always.
— Mom and Dad","Ania,

pokud tohle čteš… znamená to, že se nám tě nepodařilo najít.
Dorazili jsme k babičce do Breny, blízko lunaparku. 
Čekali jsme na tebe. Hledali jsme tě celé dny...

Pokud můžeš chodit, jdi k babičce. Brena, blízko lunaparku.
Zůstaň na silnici. Nikomu nevěř.
Pokud slyšíš výstřely nebo křik, schovej se a počkej, až to skončí. 

Pokud nás nenajdeš… zůstaň s babičkou. Odejděte spolu, až bude moct.
Tvoje věci jsou už připravené.

Milujeme tě. Navždy.
— Máma a Táta","Ania,

wenn du das liest… bedeutet es, dass wir dich nicht finden konnten.
Wir sind bei Oma in Brena angekommen, nahe dem Lunapark. 
Wir haben auf dich gewartet. Wir haben tagelang nach dir gesucht...

Wenn du laufen kannst, geh zu Oma. Brena, nahe dem Lunapark.
Bleib auf der Straße. Vertraue niemandem.
Wenn du Schüsse oder Schreie hörst, versteck dich und warte, bis es vorbei ist. 

Wenn du uns nicht findest… bleib bei Oma. Geh mit ihr, wenn sie kann.
Deine Sachen sind bereits vorbereitet.

Wir lieben dich. Für immer.
— Mama und Papa","Аня,

если ты читаешь это… значит, мы не смогли тебя найти.
Мы пришли к бабушке в Брену, рядом с лунапарком. 
Мы ждали тебя. Мы искали тебя днями...

Если можешь идти, иди к бабушке. Бренa, рядом с лунапарком.
Держись дороги. Никому не доверяй.
Если услышишь выстрелы или крики, спрячься и жди, пока всё не закончится. 

Если не найдёшь нас… оставайся с бабушкой. Уходите с ней, когда она сможет.
Твои вещи уже готовы.

Мы любим тебя. Всегда.
— Мама и Папа","Ania,

jeśli to czytasz… to znaczy, że nie udało nam się cię znaleźć.
Dotarliśmy do babci w Brenie, blisko lunaparku. 
Czekaliśmy na ciebie. Szukaliśmy cię przez dni...

Jeśli możesz chodzić, idź do babci. Brena, blisko lunaparku.
Zostań na drodze. Nikomu nie ufaj.
Jeśli usłyszysz strzały lub krzyki, ukryj się i czekaj, aż to się skończy. 

Jeśli nas nie znajdziesz… zostań z babcią. Wyjedź z nią, kiedy będzie mogła.
Twoje rzeczy są już gotowe.

Kochamy cię. Zawsze.
— Mama i Tata","Ania,

ha ezt olvasod… az azt jelenti, hogy nem tudtunk megtalálni.
Megérkeztünk a nagymamához Brenába, a lunapark közelében. 
Vártunk rád. Napokig kerestünk...

Ha tudsz járni, menj a nagymamához. Brena, a lunapark közelében.
Maradj az úton. Ne bízz senkiben.
Ha lövéseket vagy kiáltásokat hallasz, bújj el és várd meg, amíg vége lesz. 

Ha nem találsz meg minket… maradj a nagymamával. Menjetek el, amikor tud.
A dolgaid már készen vannak.

Szeretünk. Mindig.
— Anya és Apa","Ania,

se leggi questo… vuol dire che non siamo riusciti a trovarti.
Siamo arrivati dalla nonna a Brena, vicino al lunapark. 
Ti abbiamo aspettata. Ti abbiamo cercata per giorni...

Se puoi camminare, vai dalla nonna. Brena, vicino al lunapark.
Resta sulla strada. Non fidarti di nessuno.
Se senti spari o urla, nasconditi e aspetta che finisca. 

Se non ci trovi… resta con la nonna. Parti con lei quando può.
La tua roba è già pronta.

Noi ti amiamo. Sempre.
— Mamma e Papà","Ania,

si lees esto… significa que no pudimos encontrarte.
Llegamos a casa de la abuela en Brena, cerca del lunapark. 
Te esperamos. Te buscamos durante días...

Si puedes caminar, ve con la abuela. Brena, cerca del lunapark.
Mantente en la carretera. No confíes en nadie.
Si oyes disparos o gritos, escóndete y espera a que termine. 

Si no nos encuentras… quédate con la abuela. Vete con ella cuando pueda.
Tus cosas ya están listas.

Te queremos. Siempre.
— Mamá y Papá","Ania,

si tu lis ceci… cela signifie que nous n'avons pas réussi à te trouver.
Nous sommes arrivés chez grand-mère à Brena, près du lunapark. 
Nous t'avons attendue. Nous t'avons cherchée pendant des jours...

Si tu peux marcher, va chez grand-mère. Brena, près du lunapark.
Reste sur la route. Ne fais confiance à personne.
Si tu entends des coups de feu ou des cris, cache-toi et attends que cela se termine. 

Si tu ne nous trouves pas… reste avec grand-mère. Pars avec elle quand elle le pourra.
Tes affaires sont déjà prêtes.

Nous t'aimons. Toujours.
— Maman et Papa","Ania，

如果你看到这封信...说明我们没能找到你。
我们已经到了Brena外婆家，靠近游乐园。
我们等过你。我们找了你很多天...

如果你还能走路，就去外婆那里。Brena，靠近游乐园。
沿着公路走。不要相信任何人。
如果听到枪声或尖叫，躲起来，等一切结束。

如果你找不到我们...就和外婆待在一起。等她可以的时候跟她离开。
你的东西已经准备好了。

我们爱你。永远。
——妈妈和爸爸","アニアへ

これを読んでいるなら...私たちはあなたを見つけられなかったということです。
私たちはブレナの祖母の家に着きました。遊園地の近くです。
あなたを待ちました。何日も探しました...

歩けるなら祖母のところへ行きなさい。ブレナ、遊園地の近くです。
道路から離れないで。誰も信用しないで。
銃声や叫び声が聞こえたら、隠れて終わるまで待ちなさい。

私たちが見つからなかったら...祖母と一緒にいなさい。彼女が動けるときに一緒に出発しなさい。
あなたの荷物はもう準備してあります。

愛している。いつまでも。
——ママとパパ","Ania,

se estás a ler isto… significa que não conseguimos encontrar-te.
Chegámos à casa da avó em Brena, perto do lunapark. 
Esperámos por ti. Procurámos-te durante dias...

Se conseguires andar, vai para a avó. Brena, perto do lunapark.
Mantém-te na estrada. Não confies em ninguém.
Se ouvires tiros ou gritos, esconde-te e espera que tudo acabe. 

Se não nos encontrares… fica com a avó. Parte com ela quando puder.
As tuas coisas já estão prontas.

Nós amamos-te. Sempre.
— Mamã e Papá","Ania，

如果你看到这封信...说明我们没能找到你。
我们已经到了Brena外婆家，靠近游乐园。
我们等过你。我们找了你很多天...

如果你还能走路，就去外婆那里。Brena，靠近游乐园。
沿着公路走。不要相信任何人。
如果听到枪声或尖叫，躲起来，等一切结束。

如果你找不到我们...就和外婆待在一起。等她可以的时候跟她离开。
你的东西已经准备好了。

我们爱你。永远。
——妈妈和爸爸"
"STR_THEHIVE_QUEST_ITEM_1002","Ricevuta di Deposito Oggetti - cod.1002","Object Deposit Receipt - cod1002","Potvrzení o vkladu objektu - cod1002","Objekt-Einzahlungsbeleg – cod1002","Квитанция о залоге объекта - треска1002","Obiektowy dowód wpłaty - kod1002","Tárgybetéti nyugta - cod1002","Ricevuta di Deposito Oggetti - cod.1002","Recibo de depósito objeto - bacalao1002","Reçu de dépôt d'objet - morue1002","對象存款收據 - cod1002","オブジェクトデポジットの受領 - cod1002","Recibo de Depósito Objeto - cód.1002","对象存款收据 - cod1002"
"STR_THEHIVE_QUEST_ITEM_1002_DESCRIPTION","[Il foglietto è strappato da un blocco. Il tuo nome è scritto a penna, in alto.]

Deposito temporaneo effetti personali – AUT. PROV.
Il soggetto è stato registrato.
Equipaggiamento trattenuto per verifica.

Consegnare questo documento alla guardia di servizio per la restituzione degli effetti personali.
HVO–REG/Δ-07","[The note is torn from a pad. Your name is handwritten at the top.]

Temporary storage of personal effects – PROV. AUTH.

The subject has been registered.
Equipment retained for inspection.

Present this document to the guard on duty for the return of personal effects.
HVO–REG/Δ-07","[Poznámka je vytržená z bloku. Nahoře je ručně napsáno vaše jméno.]

Dočasné uložení osobních věcí – PROV. ÚŘAD.

Subjekt byl zaregistrován.
Vybavení zadrženo ke kontrole.

Předložte tento dokument službu konajícímu strážnému pro vrácení osobních věcí.
HVO–REG/Δ-07","[Der Zettel wurde aus einem Block gerissen. Oben steht Ihr Name handschriftlich.]

Temporäre Verwahrung persönlicher Gegenstände – PROV. BEH.

Die Person wurde registriert.
Ausrüstung zur Überprüfung einbehalten.

Dieses Dokument dem diensthabenden Wachposten zur Rückgabe der persönlichen Gegenstände vorlegen.
HVO–REG/Δ-07","[Записка вырвана из блокнота. Вверху от руки написано ваше имя.]

Временное хранение личных вещей – ВРЕМ. ОРГАН.

Субъект зарегистрирован.
Снаряжение удержано для проверки.

Передать данный документ дежурному для возврата личных вещей.
HVO–REG/Δ-07","[Notatka jest wyrwana z notesu. U góry odręcznie zapisano twoje imię.]

Tymczasowy depozyt rzeczy osobistych – WŁADZ. TYMCZ.

Podmiot został zarejestrowany.
Sprzęt zatrzymany do weryfikacji.

Przekazać dokument wartownikowi dyżurnemu w celu zwrotu rzeczy osobistych.
HVO–REG/Δ-07","[A cetli egy jegyzettömbből lett kitépve. Felül kézzel írva szerepel a neved.]

Személyes tárgyak ideiglenes megőrzése – IDEIGL. HATÓSÁG.

Az alany regisztrálva.
A felszerelés ellenőrzés céljából visszatartva.

A személyes tárgyak visszaszolgáltatásához adja át ezt a dokumentumot a szolgálatban lévő őrnek.
HVO–REG/Δ-07","[Il foglietto è strappato da un blocco. Il tuo nome è scritto a penna, in alto.]

Deposito temporaneo effetti personali – AUT. PROV.

Il soggetto è stato registrato.
Equipaggiamento trattenuto per verifica.

Consegnare questo documento alla guardia di servizio per la restituzione degli effetti personali.
HVO–REG/Δ-07","[La nota está arrancada de un bloc. Tu nombre está escrito a mano en la parte superior.]

Depósito temporal de efectos personales – AUT. PROV.

El sujeto ha sido registrado.
Equipo retenido para verificación.

Entregar este documento al guardia de servicio para la devolución de los efectos personales.
HVO–REG/Δ-07","[Le billet est arraché d’un bloc. Votre nom est écrit à la main en haut.]

Dépôt temporaire des effets personnels – AUT. PROV.

Le sujet a été enregistré.
Équipement retenu pour vérification.

Remettre ce document au garde de service pour la restitution des effets personnels.
HVO–REG/Δ-07","[纸条从记事本上撕下。顶部用笔写着你的名字。]

个人物品临时存放 – 临时机构。

对象已登记。
装备已扣留以供检查。

请将此文件交给值勤警卫以取回个人物品。
HVO–REG/Δ-07","[メモはメモ帳から破り取られている。上部にあなたの名前が手書きされている。]

私物一時保管 – 臨時当局。

対象は登録済み。
装備は確認のため保留中。

私物返却のため、この書類を当直の警備員に提出すること。
HVO–REG/Δ-07","[A nota foi arrancada de um bloco. Seu nome está escrito à mão no topo.]

Depósito temporário de pertences pessoais – AUT. PROV.

O indivíduo foi registrado.
Equipamento retido para verificação.

Entregar este documento ao guarda de serviço para a devolução dos pertences pessoais.
HVO–REG/Δ-07","[纸条从记事本上撕下。顶部用笔写着你的名字。]

个人物品临时存放 – 临时机构。

对象已登记。
装备已扣留以供检查。

请将此文件交给值勤警卫以取回个人物品。
HVO–REG/Δ-07"
"STR_THEHIVE_QUEST_ITEM_1005","Richiesta di Tanaka","Tanaka's Request","Tanakova žádost","Tanakas Anfrage","Запрос Танаки","Prośba Tanaki","Tanaka kérése","Richiesta di Tanaka","Solicitud de Tanaka","Demande de Tanaka","田中の依頼","田中の依頼","Pedido de Tanaka","田中的请求"
"STR_THEHIVE_QUEST_ITEM_1005_DESCRIPTION","[Un foglio pulito, piegato con precisione. L’inchiostro è scuro, recente. In alto, uno spazio lasciato vuoto per essere appeso.]

Cerco fungo porcino fresco.
Porcino deve essere intero.
PERFETTO.
Marcio, no. Segni di morsi, no.
Portare un fungo. Non servire altro.
-Tanaka","[A clean sheet, neatly folded. The ink is dark and fresh. At the top, a blank space left for hanging.]

Looking for a fresh porcini mushroom.
The porcini must be whole.
PERFECT.
Rotten, no. Bite marks, no.
Bring one mushroom. Nothing else needed.
-Tanaka","[Čistý list, pečlivě složený. Inkoust je tmavý a čerstvý. Nahoře je ponecháno prázdné místo k zavěšení.]

Hledám čerstvý hřib.
Hřib musí být celý.
DOKONALÝ.
Shnilý ne. Stopy po kousnutí ne.
Přinést jeden hřib. Nic víc není potřeba.
-Tanaka","[Ein sauberes Blatt, sorgfältig gefaltet. Die Tinte ist dunkel und frisch. Oben ist Platz zum Aufhängen gelassen.]

Suche frischen Steinpilz.
Der Steinpilz muss ganz sein.
PERFEKT.
Faul, nein. Bissspuren, nein.
Einen Pilz bringen. Nichts weiter nötig.
-Tanaka","[Чистый лист, аккуратно сложенный. Чернила тёмные, свежие. Вверху оставлено пустое место для подвешивания.]

Ищу свежий белый гриб.
Гриб должен быть целым.
ИДЕАЛЬНО.
Гнилой — нет. Следы укусов — нет.
Принести один гриб. Ничего больше не нужно.
-Танака","[Czysta kartka, starannie złożona. Atrament jest ciemny i świeży. U góry pozostawiono miejsce do zawieszenia.]

Szukam świeżego borowika.
Borowik musi być cały.
IDEALNY.
Zgniły — nie. Ślady ugryzień — nie.
Przynieść jednego grzyba. Nic więcej nie potrzeba.
-Tanaka","[Egy tiszta lap, precízen összehajtva. A tinta sötét és friss. Felül hely maradt az akasztáshoz.]

Friss vargányát keresek.
A vargányának épnek kell lennie.
TÖKÉLETES.
Rohadt nem. Harapásnyom nem.
Hozz egy gombát. Más nem kell.
-Tanaka","[Un foglio pulito, piegato con precisione. L’inchiostro è scuro, recente. In alto, uno spazio lasciato vuoto per essere appeso.]

Cerco fungo porcino fresco.
Porcino deve essere intero.
PERFETTO.
Marcio, no. Segni di morsi, no.
Portare un fungo. Non servire altro.
-Tanaka","[Una hoja limpia, doblada con precisión. La tinta es oscura y reciente. En la parte superior hay un espacio dejado para colgar.]

Busco un hongo porcini fresco.
El porcini debe estar entero.
PERFECTO.
Podrido, no. Marcas de mordiscos, no.
Traer un hongo. No se necesita nada más.
-Tanaka","[Une feuille propre, pliée avec précision. L’encre est sombre et récente. En haut, un espace est laissé pour l’accrocher.]

Je cherche un cèpe frais.
Le cèpe doit être entier.
PARFAIT.
Pourri, non. Traces de morsure, non.
Apporter un champignon. Rien d’autre nécessaire.
-Tanaka","[一张干净的纸张，折叠得很整齐。墨迹深色而新鲜。顶部留有空白以便悬挂。]

寻找新鲜的牛肝菌。
牛肝菌必须完整。
完美。
腐烂的不行。有咬痕的不行。
带来一朵蘑菇。不需要其他东西。
-Tanaka","[きれいな紙が丁寧に折られている。インクは濃く、新しい。上部には吊るすための空白が残されている。]

新鮮なポルチーニ茸を探している。
ポルチーニは完全な状態でなければならない。
完璧。
腐っているもの不可。噛み跡のあるもの不可。
茸を一つ持ってくる。他には不要。
-Tanaka","[Uma folha limpa, dobrada com precisão. A tinta é escura e recente. No topo, há um espaço deixado para pendurar.]

Procuro um cogumelo porcini fresco.
O porcini deve estar inteiro.
PERFEITO.
