Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_HINT_HEADLINE_1,"Soppravvivenza","Survival","Přežití","Überleben","Выживание","Przetrwanie","Túlélés","Soppravvivenza","Supervivencia","Survie","生存","サバイバル","Sobrevivência","生存"
STR_HINT_HEADLINE_2,"Reputazione","Reputation","Pověst","Ruf","Репутация","Reputacja","Hírnév","Reputazione","Reputación","Réputation","名聲","評判","Reputação","名声"
STR_HINT_HEADLINE_3,"Soppravvivenza","Survival","Přežití","Überleben","Выживание","Przetrwanie","Túlélés","Soppravvivenza","Supervivencia","Survie","生存","サバイバル","Sobrevivência","生存"
STR_HINT_HEADLINE_4,"Economia","Economy","Ekonomika","Wirtschaft","Экономика","Gospodarka","Gazdaság","Economia","Economía","Économie","經濟","経済","Economia","经济"
STR_HINT_HEADLINE_5,"Economia","Economy","Ekonomika","Wirtschaft","Экономика","Gospodarka","Gazdaság","Economia","Economía","Économie","經濟","経済","Economia","经济"
STR_HINT_HEADLINE_6,"Reputazione","Reputation","Pověst","Ruf","Репутация","Reputacja","Hírnév","Reputazione","Reputación","Réputation","名聲","評判","Reputação","名声"
STR_HINT_HEADLINE_7,"Soppravvivenza","Survival","Přežití","Überleben","Выживание","Przetrwanie","Túlélés","Soppravvivenza","Supervivencia","Survie","生存","サバイバル","Sobrevivência","生存"
STR_HINT_HEADLINE_8,"Economia","Economy","Ekonomika","Wirtschaft","Экономика","Gospodarka","Gazdaság","Economia","Economía","Économie","經濟","経済","Economia","经济"
STR_HINT_HEADLINE_9,"Progressione","Progression","Postup","Progression","Прогресс","Postęp","Haladás","Progressione","Progresión","Progression","進展","進行状況","Progressão","进展"
STR_HINT_HEADLINE_10,"Soppravvivenza","Survival","Přežití","Überleben","Выживание","Przetrwanie","Túlélés","Soppravvivenza","Supervivencia","Survie","生存","サバイバル","Sobrevivência","生存"
STR_HINT_HEADLINE_11,"Progressione","Progression","Postup","Progression","Прогресс","Postęp","Haladás","Progressione","Progresión","Progression","進展","進行状況","Progressão","进展"
STR_HINT_HEADLINE_12,"Economia","Economy","Ekonomika","Wirtschaft","Экономика","Gospodarka","Gazdaság","Economia","Economía","Économie","經濟","経済","Economia","经济"
STR_HINT_HEADLINE_13,"Soppravvivenza","Survival","Přežití","Überleben","Выживание","Przetrwanie","Túlélés","Soppravvivenza","Supervivencia","Survie","生存","サバイバル","Sobrevivência","生存"
STR_HINT_HEADLINE_14,"Economia","Economy","Ekonomika","Wirtschaft","Экономика","Gospodarka","Gazdaság","Economia","Economía","Économie","經濟","経済","Economia","经济"
STR_HINT_HEADLINE_15,"Soppravvivenza","Survival","Přežití","Überleben","Выживание","Przetrwanie","Túlélés","Soppravvivenza","Supervivencia","Survie","生存","サバイバル","Sobrevivência","生存"
STR_HINT_HEADLINE_16,"PvP","PvP","PvP","PvP","ПвП","PvP","PvP","PvP","JcJ","PvP","玩家對戰","PvP","JxJ","玩家对战"
STR_HINT_HEADLINE_17,"PvP","PvP","PvP","PvP","ПвП","PvP","PvP","PvP","JcJ","PvP","玩家對戰","PvP","JxJ","玩家对战"
STR_HINT_HEADLINE_18,"Reputazione","Reputation","Pověst","Ruf","Репутация","Reputacja","Hírnév","Reputazione","Reputación","Réputation","名聲","評判","Reputação","名声"
STR_HINT_DESCRIPTION_1,"Qui non è come al lavoro. Se ti caghi addosso, non vai a casa.","It's not like at work here. If you shit yourself, you don't go home.","Tady to není jako v práci. Když se posereš, nepůjdeš domů.","Hier ist es nicht wie bei der Arbeit. Wenn du dir in die Hose scheißt, gehst du nicht nach Hause.","Здесь не как на работе. Если ты обосрался, домой ты не пойдёшь.","Tu nie jest jak w pracy. Jeśli zesrasz się w gacie, nie wrócisz do domu.","Itt nem olyan, mint a munkahelyen. Ha összeszarod magad, nem mész haza.","Qui non è come al lavoro. Se ti caghi addosso, non vai a casa.","Aquí no es como en el trabajo. Si te cagas encima, no vuelves a casa.","Ici, ce n’est pas comme au travail. Si tu te chies dessus, tu ne rentres pas chez toi.","这里不像在工作。如果你拉屎拉在裤子里，就别想回家了。","ここは職場とは違う。クソを漏らしたら、家には帰れない。","Aqui não é como no trabalho. Se você se cagar, não vai para casa.","这里不像在工作。如果你把屎拉在裤子里，就别想回家了。"
STR_HINT_DESCRIPTION_2,"Uccidere indiscriminatamente alleati e civili ridurrà la tua reputazione. Ma non è sbagliato, se ti fa sentire felice.","Killing allies and civilians indiscriminately will lower your reputation. But it’s not wrong, if it makes you feel happy.","Zabíjení spojenců a civilistů bez rozdílu sníží tvou reputaci. Ale není to špatné, pokud tě to dělá šťastným.","Das wahllose Töten von Verbündeten und Zivilisten senkt deinen Ruf. Aber es ist nicht falsch, wenn es dich glücklich macht.","Беспорядочное убийство союзников и мирных жителей понизит твою репутацию. Но это не неправильно, если это делает тебя счастливым.","Bezmyślne zabijanie sojuszników i cywilów obniży twoją reputację. Ale nie jest to złe, jeśli sprawia ci to radość.","Szövetségesek és civilek válogatás nélküli megölése rontja a hírnevedet. De nem rossz, ha ettől boldognak érzed magad.","Uccidere indiscriminatamente alleati e civili ridurrà la tua reputazione. Ma non è sbagliato, se ti fa sentire felice.","Matar indiscriminadamente a aliados y civiles reducirá tu reputación. Pero no está mal, si te hace sentir feliz.","Tuer sans distinction alliés et civils réduira ta réputation. Mais ce n’est pas mal, si cela te rend heureux."," indiscriminately killing allies and civilians will reduce your reputation. But it’s not wrong if it makes you feel happy.","無差別に味方や民間人を殺せば、評判は下がる。だが、それで幸せなら間違いじゃない。","Matar aliados e civis indiscriminadamente reduzirá sua reputação. Mas não é errado, se isso te faz feliz.","无差别地杀死盟友和平民会降低你的声望。但如果这让你感到快乐，也不算错。"
STR_HINT_DESCRIPTION_3,"Se pensi che sia ingiusto, probabilmente è così.","If you think it's unfair, it probably is.","Pokud si myslíš, že je to nespravedlivé, pravděpodobně máš pravdu.","Wenn du denkst, dass es unfair ist, ist es das wahrscheinlich auch.","Если тебе кажется, что это несправедливо — скорее всего, так и есть.","Jeśli myślisz, że to niesprawiedliwe, to prawdopodobnie tak jest.","Ha igazságtalannak érzed, akkor valószínűleg az is.","Se pensi che sia ingiusto, probabilmente è così.","Si crees que es injusto, probablemente lo sea.","Si tu penses que c’est injuste, ça l’est probablement.","如果你觉得不公平，那多半是真的。","不公平だと思うなら、おそらくその通りだ。","Se você acha que é injusto, provavelmente é.","如果你觉得不公平，那多半是真的。"
STR_HINT_DESCRIPTION_4,"Avere tutto subito rovina il gioco. E infatti non puoi.","Getting everything right away ruins the game. And in fact, you can’t.","Mít všechno hned kazí hru. A proto to ani nejde.","Alles sofort zu haben ruiniert das Spiel. Und genau deshalb geht es nicht.","Получить всё сразу портит игру. Поэтому ты этого и не можешь.","Mieć wszystko od razu psuje grę. I właśnie dlatego się nie da.","Ha mindent azonnal megkapsz, az tönkreteszi a játékot. Ezért nem lehet.","Avere tutto subito rovina il gioco. E infatti non puoi.","Tenerlo todo de inmediato arruina el juego. Y por eso no puedes.","Tout avoir tout de suite ruine le jeu. Et justement, ce n’est pas possible.","一下子拥有一切会毁掉游戏。所以你做不到。","すべてをすぐに手に入れるとゲームは壊れる。だからできない。","Ter tudo imediatamente estraga o jogo. E por isso você não pode.","一下子拥有一切会毁掉游戏。所以你做不到。"
STR_HINT_DESCRIPTION_5,"Hai davvero venduto a un NPC del loot prezioso per quattro spiccioli? Lol","Did you really sell valuable loot to an NPC for pocket change? Lol","Opravdu jsi prodal cenný loot NPC za pár drobných? Lol","Hast du wirklich wertvollen Loot für ein paar Kröten an einen NPC verkauft? Lol","Ты правда продал ценный лут NPC за копейки? Lol","Naprawdę sprzedałeś cenny loot NPC za grosze? Lol","Komolyan eladtál értékes lootot egy NPC-nek aprópénzért? Lol","Hai davvero venduto a un NPC del loot prezioso per quattro spiccioli? Lol","¿De verdad vendiste botín valioso a un NPC por cuatro monedas? Lol","Tu as vraiment vendu du loot précieux à un PNJ pour trois fois rien ? Lol","你真的把贵重战利品卖给NPC换几个零钱？笑死。","貴重なルートをNPCに小銭で売ったのか？笑","Você realmente vendeu loot valioso para um NPC por trocados? Lol","你真的把贵重战利品卖给NPC换几个零钱？笑死。"
STR_HINT_DESCRIPTION_6,"Essere neutrale non ti salverà. Scegli una fazione e vivi con le conseguenze.","Being neutral won’t save you. Choose a faction and live with the consequences.","Být neutrální tě nezachrání. Vyber si frakci a nes následky.","Neutral zu sein wird dich nicht retten. Wähle eine Fraktion und lebe mit den Konsequenzen.","Нейтралитет тебя не спасёт. Выбери фракцию и живи с последствиями.","Neutralność cię nie uratuje. Wybierz frakcję i żyj z konsekwencjami.","A semlegesség nem ment meg. Válassz frakciót és viseld a következményeket.","Essere neutrale non ti salverà. Scegli una fazione e vivi con le conseguenze.","Ser neutral no te salvará. Elige una facción y vive con las consecuencias.","Être neutre ne te sauvera pas. Choisis une faction et assume les conséquences.","保持中立救不了你。选择一个阵营，承担后果。","中立では生き残れない。派閥を選び、その結果を受け入れろ。","Ser neutro não vai te salvar. Escolha uma facção e viva com as consequências.","保持中立救不了你。选择一个阵营，承担后果。"
STR_HINT_DESCRIPTION_7,"A Livonia la comodità è un upgrade. E come tutti gli upgrade seri, non è per tutti.","In Livonia, comfort is an upgrade. And like all serious upgrades, it’s not for everyone.","V Livonii je pohodlí upgrade. A jako každý pořádný upgrade není pro každého.","In Livonia ist Komfort ein Upgrade. Und wie alle echten Upgrades ist er nicht für jeden.","В Ливонии комфорт — это апгрейд. А как и все серьёзные апгрейды, он не для всех.","W Livonii komfort to ulepszenie. A jak każde poważne, nie jest dla wszystkich.","Livoniában a kényelem egy fejlesztés. És mint minden komoly fejlesztés, nem mindenkinek való.","A Livonia la comodità è un upgrade. E come tutti gli upgrade seri, non è per tutti.","En Livonia, la comodidad es una mejora. Y como todas las serias, no es para todos.","À Livonia, le confort est une amélioration. Et comme toutes les vraies, ce n’est pas pour tout le monde.","在利沃尼亚，舒适是一种升级。而真正的升级，从不属于所有人。","リヴォニアでは快適さはアップグレードだ。本物のアップグレードは万人向けじゃない。","Em Livonia, conforto é um upgrade. E como todo upgrade sério, não é para todos.","在利沃尼亚，舒适是一种升级。而真正的升级，从不属于所有人。"
STR_HINT_DESCRIPTION_8,"Con gli Hryvnia compri merci. I Chevronet dei Caschi Gialli aprono accessi e trasformano i “No” in “Forse”.","With Hryvnia you buy goods. Yellow Helmets’ Chevronets open doors and turn “No” into “Maybe”.","Za hřivny koupíš zboží. Chevronety Žlutých přileb otevírají přístupy a mění „Ne“ v „Možná“.","Mit Hrywnja kaufst du Waren. Chevronets der Gelben Helme öffnen Zugänge und machen aus „Nein“ ein „Vielleicht“.","За гривны ты покупаешь товары. Шевронеты Жёлтых Касок открывают доступ и превращают «Нет» в «Возможно».","Za hrywny kupujesz towary. Czewronety Żółtych Hełmów otwierają dostęp i zmieniają „Nie” w „Może“.","Hryvniával árut veszel. A Sárga Sisakosok zsetonjai ajtókat nyitnak és a „Nem”-et „Talán”-ná teszik.","Con gli Hryvnia compri merci. I Chevronet dei Caschi Gialli aprono accessi e trasformano i “No” in “Forse”.","Con Hryvnia compras mercancías. Los Chevronet de los Cascos Amarillos abren accesos y convierten los “No” en “Quizás”.","Avec les Hryvnia tu achètes des marchandises. Les Chevronets des Casques Jaunes ouvrent des accès et transforment les « Non » en « Peut-être ».","用格里夫纳买货。黄盔的代币能打开通道，把“拒绝”变成“也许”。","フリヴニャは物資を買うための金だ。黄色ヘルメットのトークンは扉を開き、「ノー」を「多分」に変える。","Com Hryvnia você compra mercadorias. Os Chevronets dos Capacetes Amarelos abrem acessos e transformam “Não” em “Talvez”.","用格里夫纳买货。黄盔的代币能打开通道，把“拒绝”变成“也许”。"
STR_HINT_DESCRIPTION_9,"Se pensi che il server sia punitivo, aspetta di vedere l'end-game.","If you think the server is punishing, wait until you see the endgame.","Pokud si myslíš, že je server trestající, počkej na end-game.","Wenn du denkst, der Server ist hart, warte auf das Endgame.","Если тебе кажется, что сервер суров, подожди до эндгейма.","Jeśli uważasz, że serwer jest surowy, poczekaj na end-game.","Ha most büntetőnek érzed a szervert, várd meg az endgame-et.","Se pensi che il server sia punitivo, aspetta di vedere l'end-game.","Si crees que el servidor es punitivo, espera a ver el end-game.","Si tu trouves le serveur punitif, attends de voir l’end-game.","如果你觉得服务器已经很残酷了，等你见到终局再说。","このサーバーが厳しいと思うなら、エンドゲームを見てから言え。","Se você acha o servidor punitivo, espere até ver o end-game.","如果你觉得服务器已经很残酷了，等你见到终局再说。"
STR_HINT_DESCRIPTION_10,"Se questo loading screen ti infastidisce, probabilmente è perché sei morto di nuovo.","If this loading screen annoys you, it’s probably because you died again.","Pokud tě tenhle loading screen štve, nejspíš jsi zase umřel.","Wenn dich dieser Ladebildschirm nervt, bist du wahrscheinlich wieder gestorben.","Если этот экран загрузки тебя раздражает, значит ты снова умер.","Jeśli ten ekran ładowania cię wkurza, pewnie znowu zginąłeś.","Ha ez a töltőképernyő idegesít, valószínűleg megint meghaltál.","Se questo loading screen ti infastidisce, probabilmente è perché sei morto di nuovo.","Si esta pantalla de carga te molesta, probablemente hayas muerto otra vez.","Si cet écran de chargement t’énerve, c’est sûrement parce que tu es mort encore.","如果这个加载界面让你烦，那多半是你又死了。","このロード画面が鬱陶しいなら、また死んだからだ。","Se esta tela de carregamento te irrita, provavelmente você morreu de novo.","如果这个加载界面让你烦，那多半是你又死了。"
STR_HINT_DESCRIPTION_11,"Vuoi una base? Serve una bandiera. Vuoi una bandiera? Devi scegliere una fazione.","You want a base? You need a flag. You want a flag? You must choose a faction.","Chceš základnu? Potřebuješ vlajku. Chceš vlajku? Musíš si vybrat frakci.","Willst du eine Basis? Du brauchst eine Flagge. Willst du eine Flagge? Dann wähle eine Fraktion.","Хочешь базу? Нужен флаг. Хочешь флаг? Выбирай фракцию.","Chcesz bazę? Potrzebujesz flagi. Chcesz flagę? Musisz wybrać frakcję.","Bázist akarsz? Kell egy zászló. Zászlót akarsz? Frakciót kell választanod.","Vuoi una base? Serve una bandiera. Vuoi una bandiera? Devi scegliere una fazione.","¿Quieres una base? Necesitas una bandera. ¿Quieres una bandera? Debes elegir una facción.","Tu veux une base ? Il te faut un drapeau. Tu veux un drapeau ? Choisis une faction.","想要基地？需要旗帜。想要旗帜？就得选阵营。","拠点が欲しい？旗が必要だ。旗が欲しい？派閥を選べ。","Quer uma base? Precisa de uma bandeira. Quer uma bandeira? Tem que escolher uma facção.","想要基地？需要旗帜。想要旗帜？就得选阵营。"
STR_HINT_DESCRIPTION_12,"“Tu volere fregare Tanaka? Allora tu pagare due volte, pezzo di merda.”","“You try to screw Tanaka? Then you pay twice, piece of shit.”","„Ty chtít ojebat Tanaku? Tak ty zaplatíš dvakrát, ty sráči.“","„Willst du Tanaka bescheißen? Dann zahlst du doppelt, du Stück Scheiße.“","«Ты хотел наебать Танаку? Тогда заплатишь вдвойне, кусок дерьма».","„Chciałeś oszukać Tanakę? To zapłacisz podwójnie, gówniarzu.“","„Át akarod verni Tanakát? Akkor kétszer fizetsz, szarházi.“","“Tu volere fregare Tanaka? Allora tu pagare due volte, pezzo di merda.”","«¿Intentas joder a Tanaka? Entonces pagas el doble, pedazo de mierda».","« Tu veux arnaquer Tanaka ? Alors tu paies le double, tas de merde. »","“你想坑田中？那你就付双倍，混蛋。”","「田中を騙そうとしたな？なら倍払え、クソ野郎。」","“Você tenta passar a perna no Tanaka? Então paga o dobro, seu merda.”","“你想坑田中？那你就付双倍，混蛋。”"
STR_HINT_DESCRIPTION_13,"Se muori dissanguato non è colpa del server. È perché non hai con te una benda. Come tutte le altre volte.","If you bleed out, it’s not the server’s fault. It’s because you didn’t have a bandage. Like every other time.","Pokud vykrvácíš, není to vina serveru. Je to proto, že jsi neměl obvaz. Jako pokaždé.","Wenn du verblutest, ist das nicht die Schuld des Servers. Du hattest einfach keinen Verband. Wie immer.","Если ты истёк кровью, это не вина сервера. Просто у тебя не было бинта. Как всегда.","Jeśli wykrwawisz się na śmierć, to nie wina serwera. Po prostu nie miałeś bandaża. Jak zawsze.","Ha elvérzel, az nem a szerver hibája. Csak nem volt nálad kötszer. Mint mindig.","Se muori dissanguato non è colpa del server. È perché non hai con te una benda. Come tutte le altre volte.","Si mueres desangrado no es culpa del servidor. Es porque no llevabas una venda. Como siempre.","Si tu meurs vidé de ton sang, ce n’est pas la faute du serveur. C’est juste que tu n’avais pas de bandage. Comme d’habitude.","如果你失血而死，不是服务器的问题。是因为你没带绷带。一如既往。","失血死はサーバーのせいじゃない。包帯を持ってなかっただけだ。いつも通り。","Se você morrer sangrando, não é culpa do servidor. É porque não tinha uma bandagem. Como sempre.","如果你失血而死，不是服务器的问题。是因为你没带绷带。一如既往。"
STR_HINT_DESCRIPTION_14,"L’acqua è una risorsa strategica primaria su The Hive. Il fatto che tu continui a ignorarlo è solo una scelta personale.","Water is a primary strategic resource on The Hive. The fact that you keep ignoring it is a personal choice.","Voda je na The Hive klíčový strategický zdroj. To, že ji ignoruješ, je jen tvoje volba.","Wasser ist auf The Hive eine primäre strategische Ressource. Dass du sie ignorierst, ist deine Entscheidung.","Вода — ключевой стратегический ресурс на The Hive. То, что ты продолжаешь её игнорировать, — твой выбор.","Woda to podstawowy zasób strategiczny na The Hive. To, że ją ignorujesz, to twój wybór.","A víz elsődleges stratégiai erőforrás a The Hive-on. Hogy figyelmen kívül hagyod, az a te döntésed.","L’acqua è una risorsa strategica primaria su The Hive. Il fatto che tu continui a ignorarlo è solo una scelta personale.","El agua es un recurso estratégico primario en The Hive. Que sigas ignorándolo es una elección personal.","L’eau est une ressource stratégique primaire sur The Hive. Le fait que tu l’ignores encore est un choix personnel.","水是 The Hive 的核心战略资源。你选择无视它，仅此而已。","水はThe Hiveにおける最重要戦略資源だ。無視するのはお前の選択だ。","A água é um recurso estratégico primário no The Hive. Ignorá-la é uma escolha sua.","水是 The Hive 的核心战略资源。你选择无视它，仅此而已。"
STR_HINT_DESCRIPTION_15,"No, non ti serviva tutto. Sì, sei morto cercando di portartelo dietro comunque. Sei prevedibile.","No, you didn’t need all of that. Yes, you died trying to carry it anyway. You’re predictable.","Ne, nepotřeboval jsi to všechno. Ano, stejně jsi při pokusu to odnést zemřel. Jsi předvídatelný.","Nein, du brauchtest das alles nicht. Ja, du bist trotzdem beim Tragen gestorben. Du bist vorhersehbar.","Нет, тебе не нужно было всё это. Да, ты всё равно умер, пытаясь это утащить. Ты предсказуем.","Nie, nie potrzebowałeś tego wszystkiego. Tak, i tak zginąłeś próbując to nieść. Jesteś przewidywalny.","Nem, nem volt szükséged minderre. Igen, mégis belehaltál a cipelésbe. Kiszámítható vagy.","No, non ti serviva tutto. Sì, sei morto cercando di portartelo dietro comunque. Sei prevedibile.","No, no necesitabas todo eso. Sí, moriste intentando llevarlo igual. Eres predecible.","Non, tu n’avais pas besoin de tout ça. Oui, tu es mort en essayant de le transporter quand même. Prévisible.","不，你并不需要那些东西。是的，你还是死在搬运途中。太好猜了。","全部必要なかった。案の定、運ぼうとして死んだな。予想通りだ。","Não, você não precisava de tudo isso. Sim, morreu tentando carregar mesmo assim. Previsível.","不，你并不需要那些东西。是的，你还是死在搬运途中。太好猜了。"
STR_HINT_DESCRIPTION_16,"Se l’arma è danneggiata, s’inceppa. Se s’inceppa, muori. È una meccanica divertente.","If the weapon is damaged, it jams. If it jams, you die. Fun mechanic.","Pokud je zbraň poškozená, zasekne se. Když se zasekne, zemřeš. Zábavná mechanika.","Wenn die Waffe beschädigt ist, klemmt sie. Wenn sie klemmt, stirbst du. Lustige Mechanik.","Если оружие повреждено, оно клинит. Если клинит — ты умираешь. Отличная механика.","Jeśli broń jest uszkodzona, zacina się. Jak się zatnie, giniesz. Świetna mechanika.","Ha a fegyver sérült, elakad. Ha elakad, meghalsz. Szórakoztató mechanika.","Se l’arma è danneggiata, s’inceppa. Se s’inceppa, muori. È una meccanica divertente.","Si el arma está dañada, se encasquilla. Si se encasquilla, mueres. Mecánica divertida.","Si l’arme est endommagée, elle s’enraye. Si elle s’enraye, tu meurs. Mécanique amusante.","武器损坏就会卡壳。卡壳了，你就死了。有趣的机制。","武器が壊れていればジャムる。ジャムれば死ぬ。楽しい仕様だ。","Se a arma estiver danificada, ela emperra. Se emperrar, você morre. Mecânica divertida.","武器损坏就会卡壳。卡壳了，你就死了。有趣的机制。"
STR_HINT_DESCRIPTION_17,"Se non sai da dove è arrivato il colpo, non era lag. Era solo posizionato meglio di te.","If you don’t know where the shot came from, it wasn’t lag. He was just better positioned.","Pokud nevíš, odkud přišel výstřel, nebyl to lag. Prostě byl lépe postavený.","Wenn du nicht weißt, woher der Schuss kam, war es kein Lag. Er war einfach besser positioniert.","Если ты не понял, откуда прилетел выстрел, это был не лаг. Он просто стоял лучше.","Jeśli nie wiesz, skąd padł strzał, to nie był lag. Po prostu był lepiej ustawiony.","Ha nem tudod, honnan jött a lövés, az nem lag volt. Csak jobb pozícióban volt.","Se non sai da dove è arrivato il colpo, non era lag. Era solo posizionato meglio di te.","Si no sabes de dónde vino el disparo, no fue lag. Solo estaba mejor posicionado.","Si tu ne sais pas d’où venait le tir, ce n’était pas du lag. Il était juste mieux placé.","你不知道子弹从哪来？不是延迟，是他站位更好。","どこから撃たれたかわからないなら、ラグじゃない。相手の位置が良かっただけだ。","Se você não sabe de onde veio o tiro, não foi lag. Ele só estava melhor posicionado.","你不知道子弹从哪来？不是延迟，是他站位更好。"
STR_HINT_DESCRIPTION_18,"Hai 3000 ore su DayZ. Eppure sei morto come un coglione.","You have 3000 hours on DayZ. And yet you died like an idiot.","Máš 3000 hodin na DayZ. A přesto jsi umřel jako idiot.","Du hast 3000 Stunden in DayZ. Und bist trotzdem wie ein Idiot gestorben.","У тебя 3000 часов в DayZ. И всё равно ты сдох как идиот.","Masz 3000 godzin w DayZ. A i tak zginąłeś jak idiota.","3000 órád van DayZ-ben. Mégis úgy haltál meg, mint egy idióta.","Hai 3000 ore su DayZ. Eppure sei morto come un coglione.","Tienes 3000 horas en DayZ. Y aun así moriste como un idiota.","Tu as 3000 heures sur DayZ. Et pourtant tu es mort comme un idiot.","你在 DayZ 里有3000小时。结果还是死得像个傻逼。","DayZに3000時間。それでもクソみたいな死に方だ。","Você tem 3000 horas de DayZ. E mesmo assim morreu como um idiota.","你在 DayZ 里有3000小时。结果还是死得像个傻逼。"

